website,name,price,rating,discount,link
Jumia,No name found,EGP 157.00,No rating found,65%,https://www.jumia.com.eg/generic-wireless-headset-m10-tws-with-power-bank-black-131491850.html
Jumia,No name found,"EGP 2,489.00",No rating found,17%,https://www.jumia.com.eg/amazfit-smart-watch-pop-3s-silver-104973432.html
Jumia,No name found,EGP 699.90,No rating found,53%,https://www.jumia.com.eg/wo-smart-watch-x10-mini-3-41mm-curved-screen-grey-129998163.html
Jumia,No name found,EGP 190.00,No rating found,76%,https://www.jumia.com.eg/generic-wireless-headset-m28-with-charge-case-power-black-125638607.html
Jumia,No name found,EGP 220.00,No rating found,37%,https://www.jumia.com.eg/generic-wireless-headset-m28-with-charge-case-power-black-114318096.html
Jumia,No name found,"EGP 1,299.00",No rating found,13%,https://www.jumia.com.eg/anker-soundcore-r50i-wireless-headphones-true-stereo-sound-and-10mm-drivers-130123622.html
Jumia,No name found,"EGP 1,499.00",No rating found,25%,https://www.jumia.com.eg/joyroom-fn2-funpods-4-mic-enc-earbuds-eq-bluetooth-5.4-anc-noise-cancellation-white-133163111.html
Jumia,No name found,"EGP 1,299.00",No rating found,35%,https://www.jumia.com.eg/anker-soundcore-k20i-in-ear-wireless-bluetooth-earphones-36-hours-playtime-130146869.html
Jumia,No name found,EGP 735.00,No rating found,39%,https://www.jumia.com.eg/wo-x10-ultra-3-curved-super-amoled-smart-watch-full-screen-49mm-black-116942580.html
Jumia,No name found,EGP 350.00,No rating found,65%,https://www.jumia.com.eg/generic-x8-ultra-smart-watch-2.8-inches-wireless-charging-nfc-black-126080513.html
Jumia,No name found,"EGP 1,375.00",No rating found,31%,https://www.jumia.com.eg/oraimo-osw-42-watch-er-1.43-amoled-ip68-smart-watch-black-107446375.html
Jumia,No name found,EGP 299.00,No rating found,79%,https://www.jumia.com.eg/generic-t800-ultra-smart-watch-49mm-1.99-infinite-display-wireless-charging-nfc-orang-49126297.html
Jumia,No name found,EGP 975.00,No rating found,68%,https://www.jumia.com.eg/generic-x8plus-ultra-smart-watchiphone-android-biggest-screen-49-mmthe-highest-resolution-band-lock-black-38437776.html
Jumia,No name found,"EGP 1,099.90",No rating found,8%,https://www.jumia.com.eg/nabi-original-nabi-z7-smart-watch-for-kids-turquoise-54303276.html
Jumia,No name found,"EGP 1,388.00",No rating found,44%,https://www.jumia.com.eg/oraimo-osw-30-watch-2r-1.39-tft-ip68-smart-watch-black.-96096845.html
Jumia,No name found,EGP 380.00,No rating found,37%,https://www.jumia.com.eg/generic-t900-ultra-2-big-2.19-infinite-display-super-fast-ultra-smartwatch-orange-124792242.html
Jumia,No name found,EGP 160.00,No rating found,No discount found,https://www.jumia.com.eg/generic-6-pcs-webcam-cover-shutter-magnet-slider-plastic-camera-cover-for-webcam-iphone-pc-laptops-mobile-smart-phone-privacy-sticker-23494843.html
Jumia,No name found,EGP 175.00,No rating found,12%,https://www.jumia.com.eg/generic-magnetic-case-for-samsung-galaxy-a16-case-compatible-with-magsafe-military-drop-protection-shockproof-phone-cover-crystal-clear-130366190.html
Jumia,No name found,EGP 175.00,No rating found,56%,https://www.jumia.com.eg/generic-oppo-reno-12f-full-protection-case-visa-card-slot-metal-ring-slider-camera-cover-black-128658459.html
Jumia,No name found,EGP 149.00,No rating found,70%,https://www.jumia.com.eg/generic-samsung-a15-hummer-full-protection-slim-case-kickstand-camera-shield-cover-90324944.html
Jumia,No name found,EGP 175.00,No rating found,56%,https://www.jumia.com.eg/generic-samsung-a16-full-protection-case-visa-card-slider-camera-cover-131001392.html
Jumia,No name found,EGP 149.00,No rating found,50%,https://www.jumia.com.eg/generic-samsung-a55-transparent-anti-fall-shockproof-case-full-protection-cover-with-camera-sheild-clear-with-back-frame-130630680.html
Jumia,No name found,EGP 87.00,No rating found,No discount found,https://www.jumia.com.eg/generic-samsung-galaxy-a16-anti-shock-transperent-case-121197102.html
Jumia,No name found,EGP 135.00,No rating found,55%,https://www.jumia.com.eg/generic-honor-x7c-transparent-anti-fall-shockproof-case-full-protection-cover-with-camera-sheild-clear-with-back-frame-130632058.html
Jumia,No name found,EGP 149.00,No rating found,63%,https://www.jumia.com.eg/generic-oppo-reno-12-5g-full-protection-case-visa-card-slot-metal-ring-slider-camera-cover-black-128658031.html
Jumia,No name found,EGP 199.00,No rating found,43%,https://www.jumia.com.eg/generic-redmi-note-14-pro-5g-full-protection-case-with-visa-card-slot-metal-ring-slider-camera-cover-131002803.html
Jumia,No name found,EGP 145.00,No rating found,52%,https://www.jumia.com.eg/generic-samsung-a16-transparent-anti-fall-shockproof-case-full-protection-cover-with-camera-sheild-clear-with-back-frame-130630684.html
Jumia,No name found,EGP 89.99,No rating found,55%,https://www.jumia.com.eg/generic-transparent-cover-with-anti-shock-corners-made-of-heat-resistant-polyurethane-for-samsung-galaxy-a55-5g-transparent-105695005.html
Jumia,No name found,EGP 135.00,No rating found,10%,https://www.jumia.com.eg/back-cover-glass-screen-protector-for-huawei-mate-20-generic-mpg3305773.html
Jumia,Samsung Galaxy A26 Dual SIM 5G 256GB/8GB Mobile Phone – Pink,"EGP 13,999.00",3 out of 5,23%,https://www.jumia.com.eg/samsung-galaxy-a26-dual-sim-5g-256gb8gb-mobile-phone-pink-131618226.html
Jumia,"Oraimo Smart Watch 5 Lite 2.01 Inch, IP68, OSW-804 - Black",EGP 899.00,4.2 out of 5,31%,https://www.jumia.com.eg/oraimo-smart-watch-5-lite-2.01-inch-ip68-osw-804-black-130664188.html
Jumia,Original 4*1 Charging Cable USB A/USB C To Type-C & Lightning 65W Fast & Turbo  Charging Cable,EGP 79.90 - EGP 89.00,4.2 out of 5,68%,https://www.jumia.com.eg/generic-original-41-charging-cable-usb-ausb-c-to-type-c-lightning-65w-fast-turbo-charging-cable-130124149.html
Jumia,XIAOMI Redmi A3x - 6.7 Inch 128GB/4GB Dual SIM 4G Mobile Phone - Midnight Black,"EGP 4,650.00",3.7 out of 5,29%,https://www.jumia.com.eg/xiaomi-redmi-a3x-6.7-inch-128gb4gb-dual-sim-4g-mobile-phone-midnight-black-131438010.html
Jumia,AirPods Pro Wireless Earbuds Bluetooth Touch Control Best Value with Free Silicone Case,EGP 359.90,3.5 out of 5,52%,https://www.jumia.com.eg/generic-airpods-pro-wireless-earbuds-bluetooth-touch-control-best-value-with-free-silicone-case-131620024.html
Jumia,Honor Choice Earbuds X7 Lite ANC - White,EGP 999.00,4.3 out of 5,50%,https://www.jumia.com.eg/honor-choice-earbuds-x7-lite-anc-white-131336692.html
Jumia,M90 Pro- Wireless Bluetooth Airpods With Power Bank,EGP 199.00,3.6 out of 5,50%,https://www.jumia.com.eg/generic-m90-pro-wireless-bluetooth-airpods-with-power-bank-113735611.html
Jumia,"JOY ROOM Orignal  JR-QP191 Compact 10000mAh Digital Display Power Bank, Fast Charging, 22.5W",EGP 629.00,4.1 out of 5,26%,https://www.jumia.com.eg/joy-room-orignal-jr-qp191-compact-10000mah-digital-display-power-bank-fast-charging-22.5w-119362369.html
Jumia,Nokia 3 - 5.0-inch 16GB/2GB Dual SIM 4G Mobile Phone - Silver White - Silver White,"EGP 3,599.00",4 out of 5,No discount found,https://www.jumia.com.eg/nokia-3-5.0-inch-16gb2gb-dual-sim-4g-mobile-phone-silver-white-silver-white-24057210.html
Jumia,Anker Soundcore P20i True Wireless Bluetooth Earbuds A39490F2 - Black,EGP 930.00,4.4 out of 5,17%,https://www.jumia.com.eg/anker-soundcore-p20i-true-wireless-bluetooth-earbuds-a39490f2-black-128490453.html
Jumia,XIAOMI Redmi Note 14 - Dual SIM 4G 256GB/8GB Mobile Phone - Midnight Black,"EGP 9,679.00",5 out of 5,21%,https://www.jumia.com.eg/xiaomi-redmi-note-14-dual-sim-4g-256gb8gb-mobile-phone-midnight-black-130836296.html
Jumia,Samsung A06 - 6.7 Inch 128GB/6GB Dual SIM 4G Mobile Phone - Light Blue,"EGP 5,799.00",4 out of 5,23%,https://www.jumia.com.eg/a06-6.7-inch-128gb6gb-dual-sim-4g-mobile-phone-light-blue-samsung-mpg3818093.html
Jumia,XIAOMI Redmi Note 14 Pro - 6.6 Inch 512GB/12GB Dual SIM 4G Mobile Phone - Midnight Black,"EGP 16,994.00",4 out of 5,23%,https://www.jumia.com.eg/xiaomi-redmi-note-14-pro-6.6-inch-512gb12gb-dual-sim-4g-mobile-phone-midnight-black-130936439.html
Jumia,"Anker Wall Charger Type-C, 25w, Power IQ - Black",EGP 559.00,4.8 out of 5,16%,https://www.jumia.com.eg/anker-wall-charger-type-c-25w-power-iq-black-130664168.html
Jumia,Oraimo OSW-42 - Watch ER 1.43'' AMOLED IP68 Smart Watch - Black,"EGP 1,375.00",4.3 out of 5,31%,https://www.jumia.com.eg/oraimo-osw-42-watch-er-1.43-amoled-ip68-smart-watch-black-107446375.html
Jumia,Infinix Hot 50i - 6.7 Inch - Dual SIM Mobile Phone 4G 256GB/8GB+8GB - Sage Green,"EGP 5,700.00",5 out of 5,15%,https://www.jumia.com.eg/infinix-hot-50i-6.7-inch-dual-sim-mobile-phone-4g-256gb8gb8gb-sage-green-130966933.html
Jumia,OPPO A3x Dual SIM 4G 64GB/4GB Mobile Phone - Nebula Red,"EGP 5,800.00",2 out of 5,17%,https://www.jumia.com.eg/oppo-a3x-dual-sim-4g-64gb4gb-mobile-phone-nebula-red-132999186.html
Jumia,W&O X10 Ultra 3 Curved (Super Amoled) Smart Watch -  Full Screen (49mm/2.2Inch) - Black,EGP 899.90,4.5 out of 5,55%,https://www.jumia.com.eg/wo-x10-ultra-3-curved-super-amoled-smart-watch-fullscreen-49mm2.2inch-black-112885537.html
Jumia,"realme Note 50 - 6.7"" 64GB/3GB Dual SIM 4G Mobile Phone - Sky Blue","EGP 4,799.00",4.7 out of 5,29%,https://www.jumia.com.eg/realme-note-50-6.7-64gb3gb-dual-sim-4g-mobile-phone-sky-blue-130934627.html
Jumia,"Honor X6c Dual SIM 4G Smartphone – 128GB Storage, 6GB RAM – Midnight Black","EGP 5,699.00",5 out of 5,23%,https://www.jumia.com.eg/honor-x6c-dual-sim-4g-smartphone-128gb-storage-6gb-ram-midnight-black-133130993.html
Jumia,TiLECC TiLECC P9 Bluetooth Wireless Headphone - Gray.,EGP 504.00,4 out of 5,66%,https://www.jumia.com.eg/tilecc-tilecc-p9-bluetooth-wireless-headphone-gray.-130834397.html
Jumia,Anker Soundcore P40i Noise Cancelling Bluetooth Earphones Wireless With Mic - Blue,"EGP 2,505.00",4.9 out of 5,24%,https://www.jumia.com.eg/anker-soundcore-p40i-noise-cancelling-bluetooth-earphones-wireless-with-mic-blue-101137996.html
Jumia,Soundcore V20i - Open-Ear Earbuds  - Black,"EGP 1,599.00",4.6 out of 5,16%,https://www.jumia.com.eg/soundcore-v20i-open-ear-earbuds-black-121870991.html
Jumia,Matrix S20-20000mAh Power Bank Fast Charging 22.5W - Black,EGP 950.00,4.4 out of 5,No discount found,https://www.jumia.com.eg/matrix-s20-20000mah-power-bank-fast-charging-22.5w-black-130879866.html
Jumia,Samsung A06 - 6.7 Inch 128GB/6GB Dual SIM 4G Mobile Phone - Light Blue,"EGP 5,870.00",No rating found,16%,https://www.jumia.com.eg/samsung-a06-6.7-inch-128gb6gb-dual-sim-4g-mobile-phone-light-blue-132033134.html
Jumia,"JOY ROOM JR-QP191 Power Bank 10000 MAh Fast Charging 22.5W - PD3.0, QC3.0-AFC, Huawei SCP,FCP",EGP 549.00,4 out of 5,54%,https://www.jumia.com.eg/joy-room-jr-qp191-power-bank-10000-mah-fast-charging-22.5w-pd3.0-qc3.0-afc-huawei-scpfcp-16903098.html
Jumia,Samsung Galaxy A26 Dual SIM 5G 128GB/6GB Mobile Phone - Pink,"EGP 11,599.00",No rating found,Official Store,https://www.jumia.com.eg/samsung-galaxy-a26-dual-sim-5g-128gb6gb-mobile-phone-pink-131618223.html
Jumia,Samsung Galaxy A36 Dual SIM 5G 128GB/8GB Mobile Phone - Awesome Black,"EGP 14,999.00",5 out of 5,25%,https://www.jumia.com.eg/galaxy-a36-dual-sim-5g-128gb8gb-mobile-phone-awesome-black-samsung-mpg3844010.html
Jumia,OPPO A3x - Dual SIM 4G 128GB/4GB Mobile Phone - Ocean Blue,"EGP 6,940.00",1 out of 5,17%,https://www.jumia.com.eg/oppo-a3x-dual-sim-4g-128gb4gb-mobile-phone-ocean-blue-130837394.html
Jumia,XIAOMI Poco C75 - 6.88-inch 8GB/256GB Dual Sim 4G Mobile Phone - Black,"EGP 6,270.00",4.3 out of 5,18%,https://www.jumia.com.eg/poco-c75-6.8-256gb8gb-dual-sim-4g-mobile-phone-black-xiaomi-mpg3818373.html
Jumia,XIAOMI Redmi 14C - 6.88-inch 8GB/256GB Dual Sim 4G Mobile Phone - Midnight Black,"EGP 6,890.00",3.5 out of 5,17%,https://www.jumia.com.eg/redmi-14c-6.88-inch-8gb256gb-dual-sim-4g-mobile-phone-midnight-black-xiaomi-mpg3818422.html
Jumia,"Samsung Galaxy A05s Dual SIM, 128 GB, 6 GB RAM, 4G LTE - Black","EGP 6,060.00",5 out of 5,No discount found,https://www.jumia.com.eg/samsung-galaxy-a05s-dual-sim-128-gb-6-gb-ram-4g-lte-black-132060675.html
Jumia,"Samsung A06 Dual SIM, 64GB, 4GB RAM, 4G LTE - Black","EGP 4,555.00",No rating found,5%,https://www.jumia.com.eg/samsung-a06-dual-sim-64gb-4gb-ram-4g-lte-black-133161899.html
Jumia,"Honor X9c Smart 12GB/256GB - 6.8""  Dual SIM 5G Mobile Phone -Ocean Cyan","EGP 18,252.00",5 out of 5,6%,https://www.jumia.com.eg/honor-x9c-smart-12gb256gb-6.8-dual-sim-5g-mobile-phone-ocean-cyan-132116111.html
Jumia,"Samsung A56 Galaxy Dual SIM, 256GB, 8GB RAM, 5G - Light Gray","EGP 23,544.00",5 out of 5,16%,https://www.jumia.com.eg/samsung-a56-galaxy-dual-sim-256gb-8gb-ram-5g-light-gray-131514626.html
Jumia,Matrix N82-20000mAh Power Bank Fast Charging 22.5W With LED Torch - Black,EGP 999.00,4.2 out of 5,No discount found,https://www.jumia.com.eg/matrix-n82-20000mah-power-bank-fast-charging-22.5w-with-led-torch-black-110923227.html
Jumia,OPPO A3 Dual SIM 4G 256GB/8GB Mobile Phone - Starry Purple,"EGP 9,680.00",2.5 out of 5,17%,https://www.jumia.com.eg/oppo-a3-dual-sim-4g-256gb8gb-mobile-phone-starry-purple-132999439.html
Jumia,"Infinix Hot 50i (RAM: 6+6GB, ROM: 128GB ),6.7 Inch, 120Hz IPS LCD Display, Processor: Mediatek Helio G81, 5000 MAhBattery, Android 14, Saga Green","EGP 5,000.00",5 out of 5,No discount found,https://www.jumia.com.eg/hot-50i-ram-66gb-rom-128gb-6.7-inch-120hz-ips-lcd-display-processor-mediatek-helio-g81-5000-mahbattery-android-14-saga-green-infinix-mpg3845129.html
Jumia,Wireless Earbuds Bluetooth Earphone With Mic Headset M10,EGP 199.00,4 out of 5,50%,https://www.jumia.com.eg/generic-wireless-earbuds-bluetooth-earphone-with-mic-headset-m10-130882472.html
Jumia,XIAOMI Redmi 14C - 8GB RAM - 256GB - Midnight Black,"EGP 6,849.00",No rating found,30%,https://www.jumia.com.eg/xiaomi-redmi-14c-8gb-ram-256gb-midnight-black-129517132.html
Jumia,Infinix Hot 50I X6531 256+8 Sleek Black,"EGP 5,450.00",5 out of 5,19%,https://www.jumia.com.eg/infinix-hot-50i-x6531-2568-sleek-black-130966931.html
Jumia,XIAOMI Redmi 14C - 6.88-inch 6GB/128GB Dual Sim 4G Mobile Phone - Starry Blue,"EGP 6,120.00",4 out of 5,17%,https://www.jumia.com.eg/redmi-14c-6.8-128gb6gb-dual-sim-4g-mobile-phone-starry-blue-xiaomi-mpg3818418.html
Jumia,realme C75 - 6.7 Inch 128GB/8GB Dual SIM 4G Mobile Phone - Storm Black,"EGP 9,299.00",3.3 out of 5,12%,https://www.jumia.com.eg/realme-c75-6.7-inch-128gb8gb-dual-sim-4g-mobile-phone-storm-black-130922330.html
Jumia,XIAOMI Poco C75 Dual SIM 4G 256GB/8GB Mobile Phone - Black 6.7 Inch,"EGP 6,237.00",5 out of 5,27%,https://www.jumia.com.eg/xiaomi-poco-c75-dual-sim-4g-256gb8gb-mobile-phone-black-6.7-inch-130143334.html
Jumia,"OPPO A3x - 6.6"" 128GB/4GB Dual SIM 4G Mobile Phone - Nebula Red","EGP 6,858.00",4.4 out of 5,5%,https://www.jumia.com.eg/mobile-a3x-dual-sim-128gb-4gb-ram-4g-lte-nebula-red-oppo-mpg3818340.html
Jumia,XIAOMI Redmi 14C - 6.88-inch 6GB/128GB Dual Sim 4G Mobile Phone - Midnight Black,"EGP 6,120.00",4 out of 5,17%,https://www.jumia.com.eg/redmi-14c-6.88-inch-6gb128gb-dual-sim-4g-mobile-phone-midnight-black-xiaomi-mpg3818419.html
Jumia,Vivo V50 Lite 4G - 256GB/8GB - Green,"EGP 11,999.00",2 out of 5,29%,https://www.jumia.com.eg/vivo-v50-lite-4g-256gb8gb-green-132116492.html
Jumia,OPPO A3 - Dual SIM 4G 128GB/6GB Mobile Phone - Sparkle Black,"EGP 8,150.00",No rating found,17%,https://www.jumia.com.eg/oppo-a3-dual-sim-4g-128gb6gb-mobile-phone-sparkle-black-130836290.html
Jumia,"Oraimo Smart Watch 5 Lite OSW-804 2.01 Inch TFT IP68, Normal Usage Time 7 Days Standby Time More Than 28 Days - Black - 12 Months Warranty","EGP 1,111.00",5 out of 5,41%,https://www.jumia.com.eg/oraimo-smart-watch-5-lite-osw-804-2.01-inch-tft-ip68-normal-usage-time-7-days-standby-time-more-than-28-days-black-12-months-warranty-131487264.html
Jumia,XIAOMI Redmi Note 14 - Dual SIM 4G 256GB/8GB Mobile Phone - Ocean Blue,"EGP 10,200.00",5 out of 5,17%,https://www.jumia.com.eg/xiaomi-redmi-note-14-dual-sim-4g-256gb8gb-mobile-phone-ocean-blue-130836294.html
Jumia,Vivo Y29 - 6.6 Inch 128GB/8GB Dual SIM 4G Mobile Phone - Brown,"EGP 8,099.00",No rating found,29%,https://www.jumia.com.eg/vivo-y29-6.6-inch-128gb8gb-dual-sim-4g-mobile-phone-brown-132116487.html
Jumia,Anker A3035021 - Soundcore Space One - Active Noise Cancelling Headphones - off-white,"EGP 4,499.00",4.9 out of 5,10%,https://www.jumia.com.eg/anker-a3035021-soundcore-space-one-active-noise-cancelling-headphones-off-white-56707529.html
Jumia,Samsung Galaxy A16 - 6.7-inch 8GB/256GB Dual Sim 4G - Mobile Phone - Black,"EGP 9,750.00",3 out of 5,18%,https://www.jumia.com.eg/mobile-galaxy-a16-dual-sim-256gb-8gb-ram-4g-lte-black-samsung-mpg3818561.html
Jumia,Infinix MOBILE Hot 50 Dual SIM  8+8GB RAM 256GB 4G - Titanium Grey,"EGP 15,000.00",4.8 out of 5,No discount found,https://www.jumia.com.eg/infinix-mobile-hot-50-dual-sim-88gb-ram-256gb-4g-titanium-grey-130264885.html
Jumia,"Samsung A56 Galaxy Dual SIM, 256GB, 8GB RAM, 5G - Awesome Graphite","EGP 23,544.00",No rating found,16%,https://www.jumia.com.eg/samsung-a56-galaxy-dual-sim-256gb-8gb-ram-5g-awesome-graphite-131487495.html
Jumia,Samsung Galaxy A05s Mobile Phone - 6.7 Inches - Dual SIM 4G 128GB/6GB - Light Violet,"EGP 6,048.00",4.1 out of 5,28%,https://www.jumia.com.eg/galaxy-a05s-mobile-phone-6.7-inches-dual-sim-4g-128gb6gb-light-violet-samsung-mpg3818730.html
Jumia,Anker Soundcore P20i True Wireless Bluetooth Earbuds A3949022 - White,EGP 930.00,5 out of 5,17%,https://www.jumia.com.eg/anker-soundcore-p20i-true-wireless-bluetooth-earbuds-a3949022-white-129187497.html
Jumia,Vivo Y29 - 6.6 Inch 128GB/8GB Dual SIM 4G Mobile Phone - Elegant White,"EGP 8,099.00",No rating found,Out of Stock,https://www.jumia.com.eg/vivo-y29-6.6-inch-128gb8gb-dual-sim-4g-mobile-phone-elegant-white-132116486.html
Jumia,realme Note 60x - 6.74 Inch 128GB-4GB Dual SIM 4G Mobile Phone - Marble Black,"EGP 5,390.00",4.3 out of 5,23%,https://www.jumia.com.eg/realme-note-60x-6.74-inch-128gb-4gb-dual-sim-4g-mobile-phone-marble-black-130862524.html
Jumia,OPPO A3x - Dual SIM 4G 128GB/4GB Mobile Phone - Nebula Red,"EGP 6,730.00",1 out of 5,19%,https://www.jumia.com.eg/oppo-a3x-dual-sim-4g-128gb4gb-mobile-phone-nebula-red-130836292.html
Jumia,"Samsung Galaxy A16 Dual SIM 4G 256GB/8GB Mobile Phone -Black 6.7 Inch With Wall Charger, 25 Watt, Type-C, Black - EP-T2510NBEGWW","EGP 10,240.00",5 out of 5,2%,https://www.jumia.com.eg/samsung-galaxy-a16-dual-sim-4g-256gb8gb-mobile-phone-black-6.7-inch-with-wall-charger-25-watt-type-c-black-ep-t2510nbegww-132041802.html
Jumia,Kieslect Kr2 Pro Smart Calling Watch  - Iron Grey (Official Warranty),"EGP 3,280.00",5 out of 5,No discount found,https://www.jumia.com.eg/kieslect-kr2-pro-smart-calling-watch-iron-grey-official-warranty-131500300.html
Jumia,Mi Redmi Pad SE- 11.0 Inches - 8GB RAM - 256GB - Graphite Grey,"EGP 9,598.00",4.8 out of 5,18%,https://www.jumia.com.eg/mi-redmi-pad-se-11.0-inches-8gb-ram-256gb-graphite-grey-111624211.html
Jumia,"Motorola MOBILE Moto G35 Dual Sim 256GB , 8+16GB RAM  , 5G , BLACK","EGP 7,922.00",3 out of 5,80%,https://www.jumia.com.eg/motorola-mobile-moto-g35-dual-sim-256gb-816gb-ram-5g-black-129805661.html
Jumia,"OPPO Reno 13F - 6.67"" 256GB/8GB Dual SIM 4G Mobile Phone - Graphite Grey","EGP 16,092.00",No rating found,9%,https://www.jumia.com.eg/oppo-reno-13f-6.67-256gb8gb-dual-sim-4g-mobile-phone-graphite-grey-130198671.html
Jumia,Samsung Galaxy A06 - 6.7-inch 6GB/128GB Dual Sim 4G - Mobile Phone - Light Blue,"EGP 6,090.00",No rating found,17%,https://www.jumia.com.eg/samsung-galaxy-a06-6.7-inch-6gb128gb-dual-sim-4g-mobile-phone-light-blue-130123164.html
Jumia,XIAOMI Poco C75 - 6.88-inch 8GB/256GB Dual Sim 4G Mobile Phone - Gold,"EGP 6,340.00",4.3 out of 5,17%,https://www.jumia.com.eg/poco-c75-6.8-256gb8gb-dual-sim-4g-mobile-phone-gold-xiaomi-mpg3818375.html
Jumia,"OPPO Reno 13F - 6.67"" 256GB/12GB Dual SIM 5G Mobile Phone - Purple","EGP 19,872.00",3.7 out of 5,5%,https://www.jumia.com.eg/oppo-reno-13f-6.67-256gb12gb-dual-sim-5g-mobile-phone-purple-130201798.html
Jumia,Samsung Galaxy A36 5G - 6.7-inch 8GB-256GB Dual Sim - Mobile Phone - Awesome Back,"EGP 17,444.00",No rating found,21%,https://www.jumia.com.eg/samsung-galaxy-a36-5g-6.7-inch-8gb-256gb-dual-sim-mobile-phone-awesome-back-132555946.html
Jumia,Samsung Galaxy A06 - 6.7-inch 4GB/64GB Dual Sim 4G - Mobile Phone - Black,"EGP 4,830.00",5 out of 5,17%,https://www.jumia.com.eg/samsung-galaxy-a06-6.7-inch-4gb64gb-dual-sim-4g-mobile-phone-black-130123147.html
Jumia,"OPPO Mobile A3 Dual SIM, 256GB, 8GB RAM, 4G LTE - Starlight White","EGP 9,477.00",4 out of 5,44%,https://www.jumia.com.eg/oppo-mobile-a3-dual-sim-256gb-8gb-ram-4g-lte-starlight-white-131441227.html
Jumia,OPPO A3x Dual SIM 4G 64GB/4GB Mobile Phone - Ocean Blue,"EGP 5,810.00",No rating found,17%,https://www.jumia.com.eg/oppo-a3x-dual-sim-4g-64gb4gb-mobile-phone-ocean-blue-132999430.html
Jumia,"ZTE Nubia Neo 2 Dual SIM, 256GB, 8GB RAM, 5G - Storm Grey","EGP 11,220.00",No rating found,17%,https://www.jumia.com.eg/zte-nubia-neo-2-dual-sim-256gb-8gb-ram-5g-storm-grey-133114371.html
Jumia,"Honor X9c Smart 12GB/256GB - 6.8""  Dual SIM 5G Mobile Phone -moonlight White","EGP 18,252.00",5 out of 5,6%,https://www.jumia.com.eg/honor-x9c-smart-12gb256gb-6.8-dual-sim-5g-mobile-phone-moonlight-white-130604127.html
Jumia,"OPPO Mobile A5 Pro, 4G,Dual SIM, 256 GB, 8 GB RAM ,Olive Green","EGP 11,837.00",5 out of 5,34%,https://www.jumia.com.eg/oppo-mobile-a5-pro-4gdual-sim-256-gb-8-gb-ram-olive-green-131372212.html
Jumia,"XIAOMI Redmi Note 14, 4G Dual SIM 8GB RAM 256GB -  Midnight Black","EGP 20,000.00",5 out of 5,No discount found,https://www.jumia.com.eg/xiaomi-redmi-note-14-4g-dual-sim-8gb-ram-256gb-midnight-black-130205341.html
Jumia,OPPO A5 Pro - 8GB RAM - 256GB - Green,"EGP 11,637.00",No rating found,5%,https://www.jumia.com.eg/oppo-a5-pro-8gb-ram-256gb-green-131431812.html
Jumia,"OPPO A3x - 6.6"" 64GB/4GB Dual SIM 4G Mobile Phone- Nebula Red","EGP 5,886.00",4.7 out of 5,9%,https://www.jumia.com.eg/a3x-6.67-inch-64gb4gb-dual-sim-4g-mobile-phone-nebula-red-oppo-mpg3818341.html
Jumia,Anker Soundcore P30I A3959Z61 - Green,"EGP 1,560.00",No rating found,17%,https://www.jumia.com.eg/anker-soundcore-p30i-a3959z61-green-118408420.html
